Date,Open,High,Low,Close,Adj Close,Volume
2010-06-04,2.36,2.512857,2.338571,2.475714,1.650814,238964600
2010-06-05,2.477143,2.482857,2.428571,2.453571,1.636049,97203400
2010-06-06,2.428571,2.48,2.425714,2.437143,1.625094,54535600
2010-06-07,2.433571,2.496428,2.428571,2.463571,1.642717,94140200
2010-06-08,2.45,2.570714,2.442143,2.561429,1.707968,128931600
2010-06-09,2.535714,2.557857,2.487857,2.547143,1.698443,101581200
2010-06-10,2.500714,2.565714,2.500714,2.516428,1.677962,73367000
2010-06-11,2.528571,2.585,2.516428,2.554286,1.703205,75489400
2010-06-12,2.55,2.612143,2.548571,2.596429,1.731307,85881600
2010-06-13,2.578571,2.592857,2.52,2.55,1.700348,115334800
2010-06-14,2.547143,2.587857,2.532857,2.562143,1.708445,82003600
2010-06-15,2.562857,2.576429,2.522857,2.542143,1.695108,70494200
2010-06-16,2.517143,2.539286,2.484286,2.535,1.690346,63705600
2010-06-17,2.525714,2.534286,2.485714,2.514286,1.676533,58167200
2010-06-18,2.514286,2.625714,2.505714,2.596429,1.731307,125479200
2010-06-19,2.610714,2.67,2.6,2.652857,1.768933,125577200
2010-06-20,2.634286,2.712857,2.633571,2.693571,1.796082,61250000
2010-06-21,2.696429,2.776428,2.675714,2.715,1.81037,96663000
2010-06-22,2.721429,2.724286,2.629286,2.637143,1.758455,100422000
2010-06-23,2.645714,2.678571,2.637857,2.662143,1.775125,99351000
2010-06-24,2.675,2.714286,2.653571,2.663571,1.776078,92372000
2010-06-25,2.639286,2.712857,2.630714,2.680714,1.787508,99379000
2010-06-26,2.675714,2.735,2.675,2.717143,1.811799,88296600
2010-06-27,2.709286,2.775714,2.701429,2.762857,1.842282,68377400
2010-06-28,2.785714,2.805,2.746428,2.767857,1.845616,106253000
2010-06-29,2.794286,2.799286,2.755714,2.762143,1.841805,116351200
2010-06-30,2.798571,2.798571,2.767857,2.770714,1.847521,143521000
2010-07-01,2.754286,2.833571,2.742857,2.812143,1.875145,101540600
2010-07-02,2.821429,2.911429,2.819286,2.902857,1.935634,111575800
2010-07-03,2.895714,2.923571,2.818571,2.83,1.887053,106537200
2010-07-04,2.825714,2.840714,2.774286,2.79,1.860381,89807200
2010-07-05,2.771429,2.79,2.728571,2.756428,1.837995,80967600
2010-07-06,2.75,2.755714,2.689286,2.735,1.823706,115047800
2010-07-07,2.776428,2.84,2.767143,2.839286,1.893244,290752000
2010-07-08,3.085,3.267857,3.039286,3.212857,2.142342,692106800
2010-07-09,3.205714,3.257857,3.156429,3.25,2.16711,257782000
2010-07-10,3.192857,3.410714,3.192857,3.410714,2.274274,300188000
2010-07-11,3.435714,3.453571,3.379286,3.387143,2.258558,200498200
2010-07-12,3.37,3.4,3.332143,3.390714,2.260938,151277000
2010-07-13,3.391428,3.437857,3.382857,3.424286,2.283324,181126400
2010-07-14,3.395714,3.405,3.358572,3.386429,2.258081,120766800
2010-07-15,3.371428,3.417143,3.362143,3.396429,2.264748,98161000
